KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Bovidae.Pseudoryx.UNK	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK
WWF12	tube_labels	Vietnam	QNSL	QNSL	Quang Nam SNR	NA	NA	TK35_20120824	NA	NA	0	0	0	0	0	0	0	5	0	0
WWF120	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	23/6/2012	404	7 -Vinh	25	H-119	     0	     0	   406	     0	    16	     0	  8480	254554	     0	     0
WWF121	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41092	347	11 -Vinh	20	H-123	 1512	    0	    0	    0	    0	    0	  230	89452	    0	    0
WWF123	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	22/8/2012	353	24 -Vinh	22	H-136	  5188	     0	     0	     0	     0	     0	     0	171145	     0	     0
WWF124	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41168	348	35 -Vinh	40	H-147	15715	    0	    0	    0	    0	    0	    0	   44	    0	    0
WWF126	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41284	347	Thien - 32	19	H - 153	    88	     0	     0	     0	     0	     0	     0	355304	     0	     0
WWF127	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41287	347	Thien - 35	45	H - 156	    0	    0	    5	    0	    0	    0	    3	34305	    0	    0
WWF129	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	16/03/2013	352	Tuan - 1	14	H - 160	 21595	     0	     0	     0	    88	     0	 36688	136292	     0	     0
WWF13	tube_labels	Vietnam	QNSL	QNSL	Quang Nam SNR	NA	NA	TK35_20120825	NA	NA	   0	   0	   0	   0	   0	   0	   0	9214	   0	   0
WWF130	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	24/03/2013	405	Tuan - 5	25	H - 164	     0	     0	     4	     0	    33	     0	273998	 15940	     0	     0
WWF131	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	28/04/2013	346	Tuan - 9	45	H - 168	  1483	     0	  6667	    17	   101	     0	   480	193854	     0	     0
WWF132	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	30/04/2013	346	Tuan - 11	65	H - 170	  4554	     0	     0	     0	     0	     0	161857	 46389	     0	    11
WWF133	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41460	346	Tuan - 13	90	H - 172	    0	    0	    0	    0	    0	    0	61978	 3999	    0	 1963
WWF134	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41290	346	39 - Danh	20	H - 174	 8801	    0	    3	    3	    0	    0	25369	 2232	    0	    0
WWF135	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	16/04/2013	345	43 - Danh	30	H - 178	  2856	     0	     0	     0	     0	     0	188359	 82627	     0	     0
WWF136	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	27/03/2013	348	Vinh -41	15	H - 187	  7076	     0	     0	   763	     6	     0	    24	314850	     0	     4
WWF138	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	18/4/2013	352	Huong -1	31	H - 194	    27	     0	     0	     0	     0	     0	156569	210673	     0	     0
WWF139	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	20/05/2013	405	Huong -5	17	H - 198	    71	     0	 14623	    66	   596	     0	192265	 94132	     0	     0
WWF14	tube_labels	Vietnam	HSL	HSL	Hue SNR	NA	NA	VINH.BUIHUU_20120826	NA	NA	    5	    0	    0	    0	    0	    0	    0	24415	    0	    0
WWF140	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41264	352	A21/12 I	184	H-202	187296	     0	     0	     0	  4439	     0	     0	     4	     0	     0
WWF141	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41264	352	A21/12 II	40	H-203	 684	   0	9193	 706	  18	   0	   0	2624	   0	   0
WWF142	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41264	352	B21/12 I	20	H-205	 36988	     0	    20	     0	   319	     0	     0	245024	     0	     0
WWF143	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41264	352	C21/12 I	30	H-207	1023	   0	   0	 893	  23	   0	   0	   0	   0	   0
WWF145	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41264	352	D21/12 I	70	H-209	 10133	     0	  2090	    11	    17	     0	     0	224759	     0	     0
WWF147	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41265	352	A22/12 I	121	H-212	 3675	    0	    0	18532	  142	    0	    0	84464	    0	    0
WWF148	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41265	352	A22/12 II	156	H-213	94845	    0	    0	    0	    0	    0	   28	   53	    0	    0
WWF149	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41265	352	B22/12 I	45	H-215	16841	    0	    0	    0	  145	    0	    0	13951	    0	    0
WWF15	tube_labels	Vietnam	HSL	HSL	Hue SNR	NA	NA	VINH.BUIHUU_20120907	NA	NA	    12	     0	     0	     3	     0	     0	     0	162327	     0	     0
WWF150	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41265	352	C22/12 I	72	H-217	108651	     0	     0	     0	     0	     0	     0	249304	     0	     0
WWF151	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41265	352	D22/12 I	25	H-220	25069	    0	    0	    0	  631	    0	    0	   27	    0	    0
WWF152	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41266	352	A23/12 I	82	H-223	 21851	     0	     0	     0	     0	     0	     0	405671	     0	     0
WWF153	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41266	352	B23/12 I	66	H-225	  52	   0	2515	  13	   0	   0	   0	4698	   0	   0
WWF154	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41266	352	C23/12 I	25	H-226	  0	  0	  0	  0	  0	  0	  0	686	  0	  0
WWF155	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41267	352	A24/12 I	151	H-227	377474	     0	     0	     0	    56	     0	     0	    26	     0	     0
WWF156	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41267	352	A24/12 II	88	H-228	29824	    0	    4	 5327	   13	    0	    0	  578	    0	    0
WWF157	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41267	352	A24/12 III	56	H-230	394334	     0	     0	     0	   635	     0	     0	     0	     0	     0
WWF158	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41267	352	B24/12 I	126	H-231	17706	    0	    0	    0	  450	    0	    0	    3	    0	    0
WWF159	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41267	352	D24/12 I	40	H-233	23176	    0	    0	  402	   59	    0	    0	   11	    0	    0
WWF16	tube_labels	Vietnam	HSL	HSL	Hue SNR	NA	NA	VINH.BUIHUU_20120908	NA	NA	 57191	     0	     0	     0	     0	     0	     0	112038	     0	     0
WWF160	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41268	352	A25/12 I	79	H-235	    24	     0	     0	     0	     0	     0	  3919	215962	     0	     0
WWF161	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41268	352	B25/12 I	56	H-236	   6	   0	  11	   0	   0	   0	1661	  20	   0	   0
