KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	reservecode3
WWF368	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41578	21	NA	30	Q306	     0	     0	     0	     0	   133	     0	     0	     0	     0	     0	 16535	     0	     0	     0	     0	229698	     0	     0	     0	     0	BMHQNXS
WWF369	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41579	21	NA	50	Q111	   0	   0	   0	 119	  29	 678	   0	   0	   0	   0	4802	   0	   0	   0	   0	   8	   0	   0	   0	   0	BMHQNXS
WWF37	tube_labels	Vietnam	HSL	HSL	HueSaoLaNR	NA	NA	H65	NA	NA	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	199080	     0	     0	     0	     0	BMHQNXS
WWF370	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41579	21	NA	50	Q06	   0	   0	  34	   0	 323	  14	   0	   0	   0	   0	4247	   0	   0	  76	   0	  45	   0	   0	   0	   0	BMHQNXS
WWF371	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41579	21	NA	50	Q7	   0	   0	   0	   0	   0	1679	   0	   0	   0	   0	 480	   0	   0	   0	   0	   5	   0	   0	   0	   0	BMHQNXS
WWF372	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41579	21	NA	50	Q208	  13	   0	   5	   0	  12	 109	   0	   0	  24	   0	2593	   0	   0	   0	   0	 215	   0	   0	   0	   0	BMHQNXS
WWF373	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41579	21	NA	50	Q307	  5	  0	  6	  0	  4	173	  0	  0	  9	  0	260	  0	  0	  0	  0	455	  0	  0	  0	  0	BMHQNXS
WWF374	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	NA	NA	NA	50	Q09	    0	    0	    0	 3076	    7	29903	    0	    0	    0	    0	  465	    0	    0	    0	    0	   45	    0	    0	    0	    0	BMHQNXS
WWF375	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41581	20, 21	NA	50	Q113	   0	   0	   0	   0	   5	 558	   0	   0	   0	   0	3331	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
WWF376	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41581	20	NA	50	Q209	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	378	  0	  0	  0	  0	  0	  0	  0	  0	  0	BMHQNXS
WWF377	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41583	20, 21	NA	50	Q116	   0	   0	   0	   0	  47	   9	   0	   0	   0	   0	2959	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
WWF378	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41583	20, 21	NA	50	Q118	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	BMHQNXS
WWF381	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41583	20	NA	50	Q211	  4	  0	 55	  0	  4	513	  0	  0	 40	  0	847	  0	  0	  0	  0	172	  0	  0	  0	  0	BMHQNXS
WWF382	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41583	20, 21	NA	50	Q310	    0	    0	    0	    0	   22	    0	    0	    0	    0	    0	18120	    0	    0	    0	    0	   84	    0	    0	    0	    0	BMHQNXS
WWF383	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	NA	NA	NA	50	Q11	 3862	    0	    0	    0	  514	    8	    0	    0	    5	    3	47993	    0	    0	    0	    0	    5	    0	    0	    0	    0	BMHQNXS
WWF384	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20, 21	NA	50	Q123	    0	    0	    0	    0	  449	    0	    0	    0	    0	    0	74282	    0	    0	    0	    0	 5050	    0	    0	    0	    0	BMHQNXS
WWF385	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20	NA	50	Q212	  13	   0	   5	   0	  20	  73	   0	   0	  12	   0	3920	   0	   0	   0	   0	  76	   0	   0	   0	   0	BMHQNXS
WWF386	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20	NA	50	Q214	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	27172	    0	    0	    0	    0	    0	    0	    0	    0	    0	BMHQNXS
WWF387	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41584	20, 21	NA	50	Q312	    3	    0	   10	    0	    4	  463	    0	    0	   23	    0	21982	    0	    0	    0	    0	  135	    0	    0	    0	    0	BMHQNXS
WWF388	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20, 21	NA	50	Q315	    0	    0	    0	    0	    0	37217	    0	    0	    0	    0	 1380	    0	    0	    0	    0	 3939	    0	    0	    0	    0	BMHQNXS
WWF389	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20, 21	NA	50	Q318	    0	    0	    0	    0	    0	34255	    0	    0	    0	    0	   27	    0	    0	    0	    0	 2164	    0	    0	    0	    0	BMHQNXS
WWF390	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41584	20, 21	NA	50	Q13	    0	    0	    0	    0	  153	   25	    0	    0	    0	    0	28050	    0	    0	    0	    0	 2777	    0	    0	    0	    0	BMHQNXS
WWF391	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	NA	NA	50	Q15	   0	   0	   0	   0	   0	3699	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
WWF393	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41585	20, 21	NA	50	Q19	   5	   0	  14	   0	   7	1875	   0	   0	  35	   0	 454	   0	   0	   0	   4	 167	   0	   0	   0	   0	BMHQNXS
WWF394	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20, 21	NA	50	Q124	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	32382	    0	    0	    0	    0	 9401	    0	    0	    0	    0	BMHQNXS
WWF396	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	NA	NA	50	Q129	   4	   0	   0	   0	  37	  15	   0	   0	   3	   0	1209	   0	   0	   0	   0	 329	   0	   0	   0	   0	BMHQNXS
WWF397	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20, 21	NA	50	Q131	    0	    0	    0	    0	   80	    0	    0	    0	    0	    0	32007	    0	    0	    0	    0	14362	    0	    0	    0	    0	BMHQNXS
WWF399	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20, 21	NA	50	Q323	   0	   0	   0	   0	  25	1205	   0	   0	   0	   0	9310	   0	   0	   0	   0	3110	   0	   0	   0	   0	BMHQNXS
WWF4	tube_labels	Vietnam	HSL	HSL	Hue SNR	NA	NA	VINH.BUIHUU_20120825	NA	NA	     0	     0	     0	     0	  1630	     0	     0	     0	     0	     0	128506	     0	     5	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF40	tube_labels	Vietnam	HSL	HSL	HueSaoLaNR	NA	NA	H101	NA	NA	    0	    0	    0	    0	    0	54745	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	BMHQNXS
WWF400	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20, 21	NA	50	Q325	   0	   0	   0	   0	  32	  43	   0	   0	   0	   0	1755	   0	   0	   0	   0	2041	   0	   0	   0	   0	BMHQNXS
