KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki
WWF172	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41273	346 and 349	C30/12 II	37	H-251	173	  0	  0	  0	  0	209	  0
WWF173	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41274	346 and 349	A31/12 I	104	H-254	1511	   0	   0	   0	   0	   0	   0
WWF175	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41274	346 and 349	C31/12 II	65	H-256	84	 0	 0	 0	 0	 0	 0
WWF176	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41276	348	A02/01/2013 I	108	H-259	76	 0	 0	 0	 0	 0	 0
WWF177	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41276	348	A02/01/2013 II	67	H-261	3	0	0	0	0	0	0
WWF178	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41277	348	A03/01/2013 I	120	H-264	0	0	0	0	0	0	0
WWF179	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41277	348	A03/01/2013 V	60	H-266	18	 0	 0	 0	 0	 0	 0
WWF18	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120919	NA	NA	   0	   0	   0	   0	   0	2065	   0
WWF180	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41277	348	C03/01/2013 I	77	H-268	0	0	0	0	0	0	0
WWF182	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41278	348	A04/01/2013 V	81	H-272	0	0	0	0	7	3	0
