taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
4108	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Procyonidae;family;	Procyonidae	family	1
36754	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Procyonidae;family;Procyon;genus;	Procyon	genus	1
223518	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Procyonidae;family;Procyon;genus;Procyon lotor;species;	Procyon lotor	species	1
-5101	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Viverridae;family;unclassified_Viverridae;;	unclassified_Viverridae		2
-1300	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Canidae;family;unclassified_Canidae;;	unclassified_Canidae		2
-183	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;unclassified_Carnivora;;	unclassified_Carnivora		49
-1174	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Bovidae;family;unclassified_Bovidae;;	unclassified_Bovidae		27
476	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;	Primates	order	56
1405	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;	Cercopithecidae	family	48
26644	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;	Macaca	genus	22
172907	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;Macaca arctoides;species;	Macaca arctoides	species	4
172922	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;Macaca nigra;species;	Macaca nigra	species	1
172913	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;Macaca fascicularis;species;	Macaca fascicularis	species	2
172919	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;Macaca mulatta;species;	Macaca mulatta	species	1
-26645	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Macaca;genus;unclassified_Macaca;;	unclassified_Macaca		14
32928	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Papio;genus;	Papio	genus	2
203634	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;Papio;genus;Papio anubis;species;	Papio anubis	species	2
-1406	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Cercopithecidae;family;unclassified_Cercopithecidae;;	unclassified_Cercopithecidae		24
2990	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Lorisidae;family;	Lorisidae	family	1
31053	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Lorisidae;family;Nycticebus;genus;	Nycticebus	genus	1
194154	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Lorisidae;family;Nycticebus;genus;Nycticebus pygmaeus;species;	Nycticebus pygmaeus	species	1
2609	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hominidae;family;	Hominidae	family	3
22722	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hominidae;family;Homo;genus;	Homo	genus	3
144163	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hominidae;family;Homo;genus;Homo sapiens;species;	Homo sapiens	species	3
2662	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hylobatidae;family;	Hylobatidae	family	1
30744	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hylobatidae;family;Nomascus;genus;	Nomascus	genus	1
192857	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;Hylobatidae;family;Nomascus;genus;Nomascus leucogenys;species;	Nomascus leucogenys	species	1
336	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;	Lagomorpha	order	2
3488	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Ochotonidae;family;	Ochotonidae	family	1
31168	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Ochotonidae;family;Ochotona;genus;	Ochotona	genus	1
194765	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Ochotonidae;family;Ochotona;genus;Ochotona curzoniae;species;	Ochotona curzoniae	species	1
2884	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Leporidae;family;	Leporidae	family	1
32232	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Leporidae;family;Oryctolagus;genus;	Oryctolagus	genus	1
200334	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Lagomorpha;order;Leporidae;family;Oryctolagus;genus;Oryctolagus cuniculus;species;	Oryctolagus cuniculus	species	1
203	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Chiroptera;order;	Chiroptera	order	1
5091	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Chiroptera;order;Vespertilionidae;family;	Vespertilionidae	family	1
44814	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Chiroptera;order;Vespertilionidae;family;Tylonycteris;genus;	Tylonycteris	genus	1
-44815	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Chiroptera;order;Vespertilionidae;family;Tylonycteris;genus;unclassified_Tylonycteris;;	unclassified_Tylonycteris		1
-1414	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Cervidae;family;unclassified_Cervidae;;	unclassified_Cervidae		21
447	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Pholidota;order;	Pholidota	order	7
3074	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Pholidota;order;Manidae;family;	Manidae	family	7
27088	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Pholidota;order;Manidae;family;Manis;genus;	Manis	genus	7
-27089	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Pholidota;order;Manidae;family;Manis;genus;unclassified_Manis;;	unclassified_Manis		7
